2020-05-07 00:00:21,693 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:01:21,698 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 5ms
2020-05-07 00:02:21,699 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:03:21,700 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:04:21,701 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 1ms
2020-05-07 00:05:21,702 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:06:21,702 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:07:21,703 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:08:21,704 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:09:19,077 | INFO  | ReplicaAwareInstanceRegistry - RenewalThresholdUpdater:c.n.e.r.PeerAwareInstanceRegistryImpl:539 | Current renewal threshold is : 6
2020-05-07 00:09:21,705 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:10:21,705 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:11:21,705 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:12:21,706 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 1ms
2020-05-07 00:13:21,707 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:14:21,707 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:15:21,709 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 1ms
2020-05-07 00:16:21,709 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:17:21,710 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:18:21,711 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:19:21,727 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 16ms
2020-05-07 00:20:21,728 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
2020-05-07 00:21:21,728 | INFO  | Eureka-EvictionTimer:c.n.e.r.AbstractInstanceRegistry:1250 | Running the evict task with compensationTime 0ms
